"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"speech:ask-wrong-fingerprints","I cannot verify your fingerprints.","Я не могу подтвердить ваши отпечатки."
"speech:ask-contraband","There is zero tolerance for contraband.","Контрабанда абсолютно недопустима."
"speech:ask-contraband","You have made a mistake coming here.","Вам не стоило сюда приезжать."
"speech:contraband","You can see that?","Вы это видите?"
"speech:contraband","What?","Что?"
"speech:contraband","I know nothing.","Я ничего не знаю."
"speech:contraband","Is it so obvious?","Что, так заметно?"
"speech:ask-wrong-information","This information does not look correct.","Информация вызывает сомнения."
"speech:ask-wrong-information","This is incorrect.","Это неверно."
"speech:ask-wrong-height","Your height is different.","У вас рост другой."
"speech:wrong-height","Perhaps my shoes are different.","Наверное, это потому что на мне другая обувь."
"speech:wrong-height","It is a natural difference.","Это естественное отклонение."
"speech:ask-wrong-weight","Your weight is different.","У вас вес другой."
"speech:wrong-weight","I am wearing different clothes.","На мне другая одежда."
"speech:wrong-weight","My weight has changed naturally.","Мой вес изменился естественным образом."
"speech:ask-criminal","You have interesting face.","У вас интересное лицо."
"speech:ask-criminal","Maybe you should not have come.","Пожалуй, вам не стоило сюда приезжать."
"speech:ask-criminal","We have some questions for you.","Мы хотим задать вам несколько вопросов."
"speech:criminal","I have nothing to say.","Мне сказать нечего."
"speech:criminal","Let me through or you will regret it.","Пропусти или пожалеешь."
"speech:criminal","I do not like your tone.","Мне ваш тон не нравится."
"speech:ask-wrong-description","This does not sound like you.","На вас это не похоже."
"speech:ask-wrong-description","You do not match this description.","Вы не подходите под описание."
"speech:wrong-description","I have changed.","У меня внешность изменилась."
"speech:wrong-description","How can you say for sure?","А как вы можете быть в этом уверены?"
"speech:wrong-description","Is that good or bad?","Это хорошо или плохо?"
"speech:hidden-paper","Here it is.","Вот."
"speech:hidden-paper","Sorry. I have it here.","Простите! Вот."
"speech:hidden-paper","I have it here.","Вот, пожалуйста."
"speech:hidden-paper","Here.","Вот."
"speech:ask-wrong-thumbprint","Your thumb print does not match.","Отпечаток большого пальца не совпадает."
"speech:ask-wrong-thumbprint","This print does not match.","Отпечаток не совпадает."
"speech:ask-wrong-diploaccess","Your diplomatic authorization does not cover Arstotzka.","Ваш дипломатический статус не распространяется на Тицкую Федерацию."
"speech:ask-wrong-diploaccess","You have no diplomatic rights here.","Здесь у вас нет дипломатического статуса."
"speech:ask-wrong-diploaccess","This authorization does not include Arstotzka.","Этот дипломатический статус не распространяется на Тицкую Федерацию."
"speech:wrong-diploaccess","Nonsense.","Чушь."
"speech:wrong-diploaccess","Check with your superiors.","Позвоните своему начальству."
"speech:wrong-diploaccess","I have full authorization.","Я меня есть все дипломатические права."
"speech:ask-missing-vaccinecert","Where is the vaccine certification?","Где справка о прививках?"
"speech:ask-missing-vaccinecert","Where is your proof of vaccination?","Где ваша справка о прививках?"
"speech:ask-missing-vaccinecert","All entrants must be vaccinated.","ВСе въезжающие должны пройти вакцинацию."
"speech:missing-vaccinecert","I do not believe in vaccines.","Я не верю в вакцины."
"speech:missing-vaccinecert","I could not afford certification.","У меня денег на справку не хватило."
"speech:ask-vaccine-expired","This vaccine has expired.","Справка о прививках уже недействительна."
"speech:ask-vaccine-expired","This vaccine is no longer active.","Срок действия вакцины уже кончился."
"speech:ask-vaccine-wrongdrugs","You are missing the required vaccination.","Вы не получили необходимые прививки."
"speech:ask-vaccine-wrongdrugs","This vaccine certificate is insufficient.","Этой справки о прививках недостаточно."
"speech:trade-fingerprints","Here.","Вот."
"speech:trade-fingerprints","Is this ok?","Это годится?"
"speech:trade-fingerprints","Here are my fingerprints.","Вот мои отпечатки."
"speech:trade-fingerprints","Now I have ink everywhere.","Ну вот, теперь я по уши в чернилах."
"speech:default","Please let me through.","Пожалуйста, пропустите меня."
"speech:default","What are you talking about?","О чем вы говорите?"
"speech:default","I know nothing about this.","Я про это ничего не знаю."
"speech:default","I do not know what to say.","Даже не знаю, что сказать."
"speech:default","Oh?","А?"
"face:M00","Short Hair","Волосы короткие"
"face:M00","Good Vision","Зрение норм."
"face:M00","Balding","Лысеет"
"face:M00","Glasses","Очки"
"face:M00","Large Mustache","Большие усы"
"face:M01","Bald","Лысый"
"face:M01","Large Curly Locks","Длинные кудри"
"face:M01","Glasses","Очки"
"face:M02","Cropped Hair","Волосы короткие"
"face:M02","Glasses","Очки"
"face:M02","Overweight","Лишний вес"
"face:M02","No Glasses","Очков нет"
"face:M03","Dark Hair","Волосы темные"
"face:M03","Mustache","Усы"
"face:M03","Light Hair","Волосы светлые"
"face:M03","Glasses","Очки"
"face:M10","Beard","Борода"
"face:M10","Mustache","Усы"
"face:M10","Shaved Head","Бритая голова"
"face:M10","Glasses","Очки"
"face:M11","Goatee","Бородка"
"face:M11","Perfect Vision","Зрение отличное"
"face:M11","Mohawk","Ирокез"
"face:M11","Glasses","Очки"
"face:M12","Short Cropped Hair","Короткая стрижка"
"face:M12","Long Wavy Hair","Длинные кудри"
"face:M12","Glasses","Очки"
"face:M13","Balding","Лысина"
"face:M13","Huge Afro","Пышная ""афро"""
"face:M13","Thick Glasses","Толстые очки"
"face:M20","Balding","Лысина"
"face:M20","Curly Hair","Волосы вьющиеся"
"face:M20","Glasses","Очки"
